player_name,nation,position,squad,compition,age_years,born_year,match_played,starts,min,goal,assist,expected_goal,expected_assisted_goal,non-penalty_expected_goal,progressive_carries,progressive_passes,progressive_passes_receive,age_scaled,value_score,value_tier
Iván Martín,ESP,MF,Girona,La Liga,24,1999,13,7,696.0,3.0,1.0,1.6,2.7,1.1,9.0,47.0,,0.6586411701678685,-2.077093617099328,Low
Martinelli,BRA,FW,Arsenal,Premier League,21,2001,28,27,2252.0,13.0,2.0,7.9,5.5,7.9,100.0,81.0,288.0,1.3734118606317332,9.654107736852607,High
Arnau Martinez,ESP,DF,Girona,La Liga,19,2003,22,21,1756.0,2.0,2.0,1.5,2.3,1.5,43.0,71.0,74.0,1.8499256542743097,4.88476663469085,High
Emiliano Martínez,ARG,GK,Aston Villa,Premier League,30,1992,25,25,2194.0,0.0,5.0,0.0,0.01,0.01,0.0,0.0,0.0,-0.7709002107598608,-0.4247710084996126,Mid
Iñigo Martínez,ESP,DF,Athletic Club,La Liga,31,1991,12,12,1080.0,1.0,1.0,0.8,1.1,0.3,7.0,4.0,0.08,-1.0091571075811492,-3.7358469977539697,Low
Lautaro Martínez,ARG,FW,Inter,Serie A,25,1997,27,24,2130.0,14.0,3.0,12.9,2.0,2.0,38.0,3.7,15.0,0.4203842733465803,3.6331043195661974,High
Lisandro Martínez,ARG,DF,Manchester Utd,Premier League,25,1998,24,21,1852.0,1.0,1.0,0.4,0.7,0.3,11.0,1.0,0.05,0.4203842733465803,0.25253354693721225,Mid
Lucas Martínez Quarta,ARG,DF,Fiorentina,Serie A,26,1996,19,17,1541.0,1.0,1.0,2.2,0.4,2.2,16.0,81.0,5.0,0.18212737652529207,1.285036007662079,High
Gelson Martins,POR,"MF,FW",Monaco,Ligue 1,27,1995,11,3,345.0,0.8,0.8,15.0,,47.0,,,,-0.05612952029599616,-2.2997549603728045,Low
Adam Maruic,MNE,DF,Lazio,Serie A,30,1992,26,25,2277.0,0.7,2.0,36.0,1.1,0.7,0.03,97.0,38.0,-0.7709002107598608,5.446531131379041,High
Omar Mascarell,ESP,MF,Elche,La Liga,30,1993,23,23,1997.0,0.4,6.0,20.0,5.0,94.0,0.02,0.06,0.02,-0.7709002107598608,1.1013438129052049,High
Adam Masina,MAR,DF,Udinese,Serie A,29,1994,7,5,480.0,1.0,1.0,3.0,14.0,0.1,,,,-0.5326433139385727,-3.012913178804171,Low
Jordi Masip,ESP,GK,Valladolid,La Liga,34,1989,17,17,1517.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7239277980450138,-3.5954976789039113,Low
Erhan Maovic,SRB,DF,Bochum,Bundesliga,24,1998,20,14,1399.0,4.0,4.0,2.0,2.4,0.5,3.0,2.0,0.26,0.6586411701678685,-1.310850527544138,Mid
Han-Noah Massengo,FRA,MF,Auxerre,Ligue 1,21,2001,8,7,617.0,0.3,2.0,12.0,19.0,19.0,,,,1.3734118606317332,0.5128610935937175,Mid
Eliot Matazo,BEL,MF,Monaco,Ligue 1,21,2002,14,9,806.0,0.1,2.0,3.0,6.0,41.0,,,,1.3734118606317332,-0.4919460897372503,Mid
Jean-Philippe Mateta,FRA,FW,Crystal Palace,Premier League,25,1997,22,6,696.0,1.0,1.0,2.5,3.1,0.6,6.0,35.0,,0.4203842733465803,-2.7772249658095856,Low
Nemanja Matic,SRB,MF,Roma,Serie A,34,1988,26,13,1420.0,1.0,1.0,0.7,1.6,0.7,36.0,101.0,13.0,-1.7239277980450138,-0.04115356267168324,Mid
Joël Matip,CMR,DF,Liverpool,Premier League,31,1991,11,9,822.0,0.1,2.0,24.0,1.0,44.0,0.01,0.04,0.01,-1.0091571075811492,-2.872539084153943,Low
Henning Matriciani,GER,DF,Schalke 04,Bundesliga,23,2000,14,14,1208.0,0.1,0.1,11.0,0.01,3.0,0.01,0.01,0.01,0.8968980669891568,-0.8898218260078378,Mid
Azor Matusiwa,NED,MF,Reims,Ligue 1,24,1998,22,21,1804.0,0.3,3.0,9.0,10.0,148.0,0.01,0.05,0.01,0.6586411701678685,1.2267065254772422,High
Neal Maupay,FRA,FW,Everton,Premier League,26,1996,20,10,947.0,1.0,1.0,3.8,4.3,0.5,7.0,52.0,0.1,0.18212737652529207,-1.3992539161798596,Mid
Aïman Maurer,MAR,MF,Clermont Foot,Ligue 1,18,2004,6,5,398.0,0.4,0.4,16.0,,31.0,,,,2.088182551095598,0.29882985961183905,Mid
Stephy Mavididi,ENG,FW,Montpellier,Ligue 1,24,1998,16,12,943.0,2.0,1.0,2.6,2.6,1.0,20.0,3.3,14.0,0.6586411701678685,-1.4684505197819102,Mid
Konstantinos Mavropanos,GRE,DF,Stuttgart,Bundesliga,25,1997,22,21,1868.0,2.0,1.0,3.6,1.0,3.6,25.0,89.0,10.0,0.4203842733465803,3.380282639874097,High
Philipp Max,GER,DF,Eint Frankfurt,Bundesliga,29,1993,7,6,469.0,0.3,1.0,8.0,35.0,21.0,,,,-0.5326433139385727,-1.1943100464421585,Mid
Eric Maxim Choupo-Moting,CMR,FW,Bayern Munich,Bundesliga,34,1989,17,13,1024.0,10.0,2.0,5.5,1.7,4.7,9.0,41.0,74.0,-1.7239277980450138,-2.942430768568133,Low
Fernand Mayembo,CGO,DF,Ajaccio,Ligue 1,27,1996,9,6,572.0,1.2,1.0,2.0,,9.0,,,,-0.05612952029599616,-2.701214396462393,Low
Borja Mayoral,ESP,FW,Getafe,La Liga,25,1997,26,26,2122.0,6.0,2.0,6.2,4.7,4.0,46.0,6.9,43.0,0.4203842733465803,3.883491765483269,High
Noussair Mazraoui,MAR,DF,Bayern Munich,Bundesliga,25,1997,12,6,569.0,0.3,3.0,14.0,43.0,1.1,,,,0.4203842733465803,0.9450443322293276,Mid
Pasquale Mazzocchi,ITA,DF,Salernitana,Serie A,27,1995,19,17,1421.0,2.0,2.0,1.1,2.3,1.1,53.0,46.0,81.0,-0.05612952029599616,1.6797968862879993,High
Kylian Mbappé,FRA,FW,Paris S-G,Ligue 1,24,1998,24,22,1918.0,19.0,3.0,17.4,5.0,4.0,124.0,5.6,19.7,0.6586411701678685,7.779109371468444,High
Mamadou Mbaye,SEN,DF,Cádiz,La Liga,24,1998,8,6,559.0,0.1,1.0,1.0,,10.0,,,,0.6586411701678685,-2.099283800057526,Low
Chancel Mbemba,COD,DF,Marseille,Ligue 1,28,1994,27,26,2285.0,4.0,4.0,2.7,2.8,0.1,36.0,31.0,0.16,-0.2943864171172844,3.14227451766881,High
Bryan Mbeumo,CMR,FW,Brentford,Premier League,23,1999,27,27,2092.0,5.0,3.0,6.8,4.0,1.0,43.0,4.0,10.0,0.8968980669891568,4.254835534132837,High
John McGinn,SCO,MF,Aston Villa,Premier League,28,1994,23,19,1703.0,1.7,2.0,17.0,3.4,1.7,0.09,44.0,0.11,-0.2943864171172844,1.2537182931162238,High
Scott McKenna,SCO,DF,Nott'ham Forest,Premier League,26,1996,18,17,1462.0,0.1,4.0,5.0,1.0,33.0,0.0,0.05,0.05,0.18212737652529207,-1.2624961871661122,Mid
